# T (K)	V (cm^3/mol)	Verr (cm^3/mol)
298	11.2434	0.009
455	11.3004	0.0054
710	11.4109	0.0136
905	11.5452	0.0118
1096	11.6211	0.0072
1205	11.6938	0.0151
1305	11.725	0.0122
1365	11.7523	0.0183
1527	11.8218	0.0245
1598	11.9081	0.0153
1685	11.9656	0.0245
1870	12.0459	0.0185
1915	12.09	0.0216
2055	12.2001	0.0248
2106	12.2287	0.0233
2245	12.3299	0.0215
2297	12.378	0.025
2395	12.4401	0.0226
2408	12.4487	0.0204
2592	12.601	0.0185
2703	12.6887	0.0216
2785	12.752	0.0248
2848	12.8013	0.0233
2912	12.8621	0.0215
2986	12.9244	0.025
3031	12.9982	0.0185
3065	13.2013	0.0204
3086	13.2264	0.0268
3040	13.1823	0.0233
3015	12.9723	0.025
# Dubrovinsky, L. S., and S. K. Saxena.
# Thermal expansion of periclase (MgO) and tungsten (W) to melting temperatures.
# Physics and Chemistry of Minerals 24.8 (1997): 547-550.
