# T (K) Terr    Pt:a	P (GPa)	Perr	MgO:V (A^3) Verr
2015	181.5	3.8824	20.5	1.2	70.816	0.007
2227	202.7	3.8912	19.7	1.3	71.287	0.01
2474	227.4	3.8949	21.3	1.5	71.765	0.007
2188	198.8	3.8787	22.5	1.4	70.607	0.004
2000	180	3.8685	23.9	1.4	70.061	0.008
2349	214.9	3.8748	24.5	1.6	70.709	0.008
1900	170	3.8394	31.3	1.6	67.626	0.005
2008	180.8	3.8404	31.7	1.6	67.913	0.006
2097	189.7	3.8434	31.4	1.7	67.412	0.004
1964	176.4	3.7758	53	2.2	62.39	0.004
1750	155	3.8563	25.5	1.3	68.441	0.002
2000	180	3.8642	25	1.4	68.921	0.004
1934	173.4	3.8667	24	1.4	69.183	0.003
2110	191	3.872	23.7	1.4	69.593	0.004
2160	196	3.872	24	1.4	69.592	0.004
1750	155	3.8959	15.5	1	71.649	0.006
1927	172.7	3.898	16.2	1.1	71.923	0.005
1865	166.5	3.9077	13.6	1	72.433	0.004
1870	167	3.777	51.86	2.2	62.362	0.003
1928	172.8	3.7761	52.6	2.2	62.05	0.006
1900	170	3.777	52.1	2.2	62.368	0.006
2223	202.3	3.8042	44.5	2.1	64.301	0.004
2050	185	3.8066	42.6	2	64.369	0.004
2064	186.4	3.8079	42.2	2	64.481	0.006
1950	175	3.8077	41.5	1.9	64.394	0.007
1908	170.8	3.7783	48	2.1	63.146	0.004
2066	186.6	3.7905	48.4	2.2	62.866	0.006
2067	186.7	3.7903	48.2	2.2	63.004	0.01
2050	185	3.7902	48.2	2.2	63.151	0.006
1966	176.6	3.777	52.5	2.3	62.306	0.003
1849	164.9	3.7773	51.6	2.3	62.204	0.003
1980	178	3.848	29.3	1.6	67.894	0.004
1950	175	3.8507	28.3	1.5	68.242	0.006
2040	184	3.8136	35	1.8	66.246	0.01
1975	177.5	3.8138	35	1.8	66.025	0.008
2250	205	3.8279	37	1.8	66.303	0.007
2210	201	3.8344	34.8	1.7	66.468	0.005
2320	212	3.8372	34.7	1.8	66.606	0.007
2374	217.4	3.8401	34.2	1.8	66.782	0.011
2315	211.5	3.8484	31.4	1.8	67.515	0.012
2200	200	3.8064	43.6	2.1	64.274	0.005
300	10	3.7919	36.2	1.1	63.687	0.004
300	10	3.7835	39.2	1.2	62.663	0.003
300	10	3.7689	44.7	1.4	61.778	0.003
300	10	3.8276	24.3	0.7	66.118	0.004
300	10	3.8438	19.5	0.6	67.608	0.002
300	10	3.8572	15.7	0.5	68.798	0.002
300	10	3.8679	12.9	0.4	69.696	0.004
300	10	3.9191	0.8	0	74.13	0.004
300	10	3.8734	11.5	0.4	70.139	0.002
300	10	0	0	0	74.744	0.01
300	10	3.8594	15.1	0.5	69.182	0.008
300	10	3.8492	17.9	0.5	68.392	0.003
300	10	3.8334	22.6	0.7	66.874	0.006
300	10	3.8126	29.1	0.9	65.168	0.003
300	10	3.7994	33.5	1	63.786	0.003
300	10	3.7971	34.3	1.1	63.891	0.008
300	10	3.8386	20	0.6	67.226	0.003
300	10	3.8388	21	0.7	67.332	0.005
300	10	3.8203	26.6	0.8	65.637	0.002
300	10	3.8187	27.1	0.8	65.544	0.006
# Taken from
# Dewaele, Agnes, et al.
# P-V-T equation of state of periclase from synchrotron radiation measurements
# Journal of Geophysical Research: Solid Earth 105.B2 (2000): 2869-2877.
