# pressure(Pa)	Temperature(K)
# Data scraped from figure
0  1009.84428046
0.239234449761e9  1303.01274623
2.39234449761e9  1564.35628469
4.54545454545e9  1679.11813137
12.2009569378e9  1825.86245451
18.1818181818e9  1908.84003171
28.4688995215e9  1972.78973796
42.3444976077e9  2062.3081458
58.6124401914e9  2183.74296111
71.0526315789e9  2266.85775853
79.4258373206e9  2318.02057287
93.7799043062e9  2413.9222622
106.937799043e9  2503.42542335
113.636363636e9  2548.17954504
119.85645933e9  2592.92350227
124.641148325e9  2714.11437051
129.425837321e9  2848.05147283
131.339712919e9  3020.16629058
132.296650718e9  3217.75324755
132.775119617e9  3389.83757191
133.732057416e9  3587.42452888
134.210526316e9  3765.88197028
134.688995215e9  4052.68240125
148.086124402e9  4174.0562298
165.071770335e9  4327.37187697
185.645933014e9  4493.50999167
204.545454545e9  4646.86629668
229.425837321e9  4844.96147669
260.526315789e9  5068.68126283
291.148325359e9  5286.01776748
311.722488038e9  5413.91717997
330.14354067e9  5535.39773536
