# Depth (m)	Temperature (K)	Uncertainty (K)
0       1619    35
50000	1646	35
70000	1657	35
90000	1667	35
100000	1672	36
120000	1682	36
140000	1691	36
160000	1700	36
180000	1709	37
200000	1718	37
220000	1726	37
240000	1735	37
260000	1743	38
280000	1751	38
300000	1759	38
320000	1766	38
340000	1774	38
360000	1781	39
380000	1788	39
400000	1796	39
410000	1799	39
410001	1860	38
420000	1863	38
440000	1871	38
460000	1878	38
480000	1885	38
500000	1892	39
520000	1899	39
520001	1942	39
540000	1950	39
560000	1957	39
580000	1965	39
600000	1972	39
620000	1980	40
640000	1987	40
660000	1994	40
660001	1960	40
700000	1976	40
800000	2015	41
900000	2053	42
1000000	2090	43
1200000	2158	45
1400000	2223	47
1600000	2283	48
1800000	2340	50
2000000	2394	52
2200000	2445	54
2400000	2494	56
2600000	2541	58
2800000	2587	60
