#Depth(m)	Temp(K)
0	300
11000	540
70000	1035
120000	1266
120000	1266
170000	1480
220000	1670
220000	1670
270000	1823
320000	1945
370000	2025
420000	2085
420000	2085
470000	2130
520000	2165
570000	2197
620000	2225
670000	2250
670000	2250
771000	2290
871000	2335
971000	2372
1071000	2407
1171000	2445
1271000	2483
1371000	2518
1471000	2552
1571000	2585
1671000	2617
1771000	2650
1871000	2682
1971000	2713
2071000	2745
2171000	2776
2271000	2808
2371000	2840
2471000	2872
2571000	2905
2671000	2945
2771000	3005
2871000	3125
2885300	3157
2885301	3157
2971000	3220
3071000	3290
3171000	3358
3271000	3422
3371000	3483
3471000	3540
3571000	3595
3671000	3648
3771000	3697
3871000	3745
3971000	3789
4071000	3831
4171000	3872
4271000	3910
4371000	3947
4471000	3981
4571000	4014
4671000	4045
4771000	4074
4871000	4100
4971000	4125
5071000	4149
5153900	4168
5153901	4168
5171000	4171
5271000	4199
5371000	4206
5471000	4221
5571000	4235
5671000	4247
5771000	4258
5871000	4266
5971000	4274
6071000	4279
6171000	4283
6271000	4286
6371000	4286
