#depth(m)	Temp(K)
270000	1588
320000	1626
370000	1664
420000	1702
470000	1736
520000	1770
570000	1804
620000	1839
670000	1873
771000	1908
871000	1941
971000	1973
1071000	2004
1171000	2034
1271000	2064
1371000	2092
1471000	2120
1571000	2147
1671000	2174
1771000	2199
1871000	2225
1971000	2249
2071000	2273
2171000	2296
2271000	2319
2371000	2341
2471000	2363
2571000	2384
2671000	2405
2771000	2426
2871000	2446
2885000	2449
2971000	2505
3071000	2570
3171000	2631
3271000	2691
3371000	2748
3471000	2803
3571000	2856
3671000	2906
3771000	2953
3871000	2998
3971000	3041
4071000	3082
4171000	3119
4271000	3155
4371000	3187
4471000	3218
4571000	3246
4671000	3271
4771000	3294
4871000	3315
4971000	3333
5071000	3348
5154000	3359
5171000	3362
5271000	3382
5371000	3399
5471000	3416
5571000	3430
5671000	3442
5771000	3453
5871000	3463
5971000	3470
6071000	3476
6171000	3480
6271000	3483
6371000	3484
