|6.6.6
/home/bob/software/Perple_X/example_23/in23_1.tab                                                   
           2
P(bar)  
   1.0000000000000000     
   999.99599999999998     
         251
T(K)    
   1400.0000000000000     
   100.00000000000000     
           7
          12
rho,kg/m3      alpha,1/K      beta,1/bar     Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        s,J/K/kg       h,J/kg         cp,J/K/kg      V,J/bar/mol   
  3181.293      0.3950852E-04  0.1108293E-05   963895.7       326701.8       5.504441       6.632608       3.204601       2365.600     -0.1216782E+08   1231.025       159.3389    
  3184.791      0.3915901E-04  0.1100362E-05   969830.9       588635.7       5.518329       7.422639       4.299152       2364.364     -0.1213814E+08   1230.238       159.1639    
  3188.284      0.3881383E-04  0.1092426E-05   975881.8       590255.1       5.532483       7.435907       4.302703       2363.141     -0.1210847E+08   1229.469       158.9895    
  3191.757      0.3847644E-04  0.1084658E-05   981902.3       591867.2       5.546503       7.449062       4.306230       2361.929     -0.1207882E+08   1228.718       158.8166    
  3195.208      0.3814650E-04  0.1077054E-05   987893.3       593472.0       5.560392       7.462107       4.309735       2360.730     -0.1204918E+08   1227.984       158.6450    
  3198.640      0.3782374E-04  0.1069606E-05   993855.5       595069.7       5.574154       7.475046       4.313216       2359.542     -0.1201957E+08   1227.267       158.4748    
  3202.051      0.3750785E-04  0.1062308E-05   999790.2       596660.4       5.587793       7.487881       4.316676       2358.365     -0.1198997E+08   1226.565       158.3060    
  3205.443      0.3719858E-04  0.1055155E-05   1005698.       598244.3       5.601313       7.500615       4.320115       2357.199     -0.1196039E+08   1225.879       158.1385    
  3249.992      0.3865003E-04  0.1045204E-05   1017958.       631974.5       5.596594       7.566313       4.409695       2360.763     -0.1192448E+08   1227.863       155.9708    
  3253.379      0.3832678E-04  0.1037969E-05   1024121.       633594.1       5.610587       7.579267       4.413043       2359.580     -0.1189539E+08   1227.159       155.8084    
