#AK135 Kennett, Engdahl & Buland (1995) 
#Depth(m) 	 Radius(m) 	 Density(g/m^3) 	 Vp(m/s) 	 Vs(m/s) 	 Qmu 	 Qk
0.000000e+00	6.371000e+06	1.020000e+03	1.450000e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.000000e+03	6.368000e+06	1.020000e+03	1.450000e+03	0.000000e+00	0.000000e+00	5.782200e+04
3.000000e+03	6.368000e+06	2.000000e+03	1.650000e+03	1.000000e+03	8.000000e+01	1.633500e+02
3.300000e+03	6.367700e+06	2.000000e+03	1.650000e+03	1.000000e+03	8.000000e+01	1.633500e+02
3.300000e+03	6.367700e+06	2.600000e+03	5.800000e+03	3.200000e+03	5.999900e+02	1.478300e+03
1.000000e+04	6.361000e+06	2.600000e+03	5.800000e+03	3.200000e+03	5.999900e+02	1.478300e+03
1.000000e+04	6.361000e+06	2.920000e+03	6.800000e+03	3.900000e+03	5.999900e+02	1.368020e+03
1.800000e+04	6.353000e+06	2.920000e+03	6.800000e+03	3.900000e+03	5.999900e+02	1.368020e+03
1.800000e+04	6.353000e+06	3.641000e+03	8.035500e+03	4.483900e+03	3.946200e+02	9.505000e+02
4.300000e+04	6.328000e+06	3.580100e+03	8.037900e+03	4.485600e+03	4.039300e+02	9.727700e+02
8.000000e+04	6.291000e+06	3.502000e+03	8.040000e+03	4.480000e+03	4.175900e+02	1.008710e+03
8.000000e+04	6.291000e+06	3.502000e+03	8.045000e+03	4.490000e+03	7.560000e+01	1.820300e+02
1.200000e+05	6.251000e+06	3.426800e+03	8.050500e+03	4.500000e+03	7.606000e+01	1.825700e+02
1.200000e+05	6.251000e+06	3.426800e+03	8.050500e+03	4.500000e+03	7.606000e+01	1.825700e+02
1.650000e+05	6.206000e+06	3.371100e+03	8.175000e+03	4.509000e+03	7.655000e+01	1.887200e+02
2.100000e+05	6.161000e+06	3.324300e+03	8.300700e+03	4.518400e+03	7.940000e+01	2.009700e+02
2.100000e+05	6.161000e+06	3.324300e+03	8.300700e+03	4.518400e+03	1.337200e+02	3.384700e+02
2.600000e+05	6.111000e+06	3.366300e+03	8.482200e+03	4.609400e+03	1.363800e+02	3.463700e+02
3.100000e+05	6.061000e+06	3.411000e+03	8.665000e+03	4.696400e+03	1.393800e+02	3.558500e+02
3.600000e+05	6.011000e+06	3.457700e+03	8.847600e+03	4.783200e+03	1.427600e+02	3.663400e+02
4.100000e+05	5.961000e+06	3.506800e+03	9.030200e+03	4.870200e+03	1.465700e+02	3.779300e+02
4.100000e+05	5.961000e+06	3.931700e+03	9.360100e+03	5.080600e+03	1.625000e+02	4.136600e+02
4.600000e+05	5.911000e+06	3.927300e+03	9.528000e+03	5.186400e+03	1.648700e+02	4.173200e+02
5.100000e+05	5.861000e+06	3.923300e+03	9.696200e+03	5.292200e+03	1.668000e+02	4.199400e+02
5.600000e+05	5.811000e+06	3.921800e+03	9.864000e+03	5.398900e+03	1.687800e+02	4.225500e+02
6.100000e+05	5.761000e+06	3.920600e+03	1.003200e+04	5.504700e+03	1.708200e+02	4.255100e+02
6.600000e+05	5.711000e+06	3.920100e+03	1.020000e+04	5.610400e+03	1.729300e+02	4.286900e+02
6.600000e+05	5.711000e+06	4.238700e+03	1.079090e+04	5.960700e+03	5.494500e+02	1.350540e+03
7.100000e+05	5.661000e+06	4.298600e+03	1.092220e+04	6.089800e+03	5.434800e+02	1.311170e+03
7.600000e+05	5.611000e+06	4.356500e+03	1.105530e+04	6.210000e+03	5.376300e+02	1.277930e+03
8.095000e+05	5.561500e+06	4.411800e+03	1.113550e+04	6.242400e+03	5.319100e+02	1.269440e+03
8.590000e+05	5.512000e+06	4.465000e+03	1.122280e+04	6.279900e+03	5.263200e+02	1.260680e+03
9.085000e+05	5.462500e+06	4.516200e+03	1.130680e+04	6.316400e+03	5.208300e+02	1.251690e+03
