 PREM NO OCEAN MODEL: (    0.0000    0.000) anisotropic case
   1    1.00000  1
   185  33  66
      0. 13088.50 11262.20  3667.80   1327.7     84.6 11262.20  3667.80  1.00000
  38172. 13088.18 11261.97  3667.64   1327.7     84.6 11261.97  3667.64  1.00000
  76344. 13087.23 11261.29  3667.16   1327.7     84.6 11261.29  3667.16  1.00000
 114516. 13085.64 11260.14  3666.36   1327.7     84.6 11260.14  3666.36  1.00000
 152688. 13083.42 11258.54  3665.25   1327.7     84.6 11258.54  3665.25  1.00000
 190859. 13080.57 11256.49  3663.81   1327.7     84.6 11256.49  3663.81  1.00000
 229031. 13077.08 11253.98  3662.05   1327.7     84.6 11253.98  3662.05  1.00000
 267203. 13072.95 11251.01  3659.98   1327.7     84.6 11251.01  3659.98  1.00000
 305375. 13068.19 11247.58  3657.58   1327.7     84.6 11247.58  3657.58  1.00000
 343547. 13062.80 11243.70  3654.87   1327.7     84.6 11243.70  3654.87  1.00000
 381719. 13056.77 11239.35  3651.83   1327.7     84.6 11239.35  3651.83  1.00000
 419891. 13050.11 11234.56  3648.48   1327.7     84.6 11234.56  3648.48  1.00000
 458062. 13042.81 11229.30  3644.81   1327.7     84.6 11229.30  3644.81  1.00000
 496234. 13034.88 11223.59  3640.82   1327.7     84.6 11223.59  3640.82  1.00000
 534406. 13026.31 11217.42  3636.51   1327.7     84.6 11217.42  3636.51  1.00000
 572578. 13017.11 11210.80  3631.88   1327.7     84.6 11210.80  3631.88  1.00000
 610750. 13007.28 11203.72  3626.93   1327.7     84.6 11203.72  3626.93  1.00000
 648922. 12996.81 11196.18  3621.66   1327.7     84.6 11196.18  3621.66  1.00000
 687094. 12985.70 11188.18  3616.07   1327.7     84.6 11188.18  3616.07  1.00000
 725266. 12973.97 11179.73  3610.16   1327.7     84.6 11179.73  3610.16  1.00000
 763438. 12961.59 11170.82  3603.94   1327.7     84.6 11170.82  3603.94  1.00000
 801609. 12948.58 11161.45  3597.39   1327.7     84.6 11161.45  3597.39  1.00000
 839781. 12934.94 11151.63  3590.53   1327.7     84.6 11151.63  3590.53  1.00000
 877953. 12920.66 11141.35  3583.34   1327.7     84.6 11141.35  3583.34  1.00000
 916125. 12905.75 11130.61  3575.84   1327.7     84.6 11130.61  3575.84  1.00000
 954297. 12890.21 11119.42  3568.01   1327.7     84.6 11119.42  3568.01  1.00000
 992469. 12874.02 11107.76  3559.87   1327.7     84.6 11107.76  3559.87  1.00000
1030641. 12857.21 11095.66  3551.41   1327.7     84.6 11095.66  3551.41  1.00000
1068812. 12839.76 11083.09  3542.63   1327.7     84.6 11083.09  3542.63  1.00000
