#Depth(m)	Radius(m)	Pressure(Pa)	Gravity(m/s^2)	Density(g/m^3)	Vp(m/s)	Vs(m/s)	Qk	Qmu
0.000000e+00	6.371000e+06	0.000000e+00	9.810208e+00	1.020000e+03	1.450000e+03	0.000000e+00	1.000000e+05	0.000000e+00
3.000000e+03	6.368000e+06	3.000000e+08	9.793352e+00	1.020000e+03	1.450000e+03	0.000000e+00	1.000000e+05	3.000000e+02
3.001000e+03	6.367999e+06	3.000000e+08	9.793352e+00	2.600000e+03	5.800000e+03	3.200000e+03	1.000000e+05	3.000000e+02
1.500000e+04	6.356000e+06	3.370000e+08	9.806844e+00	2.600000e+03	5.800000e+03	3.200000e+03	1.000000e+05	3.000000e+02
1.500100e+04	6.355999e+06	3.370000e+08	9.806844e+00	2.900000e+03	6.800000e+03	3.900000e+03	1.000000e+05	3.000000e+02
2.440000e+04	6.346600e+06	6.040000e+08	9.783568e+00	2.900000e+03	6.800000e+03	3.900000e+03	1.000000e+05	1.910000e+02
2.440100e+04	6.346599e+06	6.040000e+08	9.783568e+00	3.380760e+03	8.110610e+03	4.490940e+03	1.000000e+05	1.910000e+02
4.000000e+04	6.331000e+06	1.121942e+09	9.787837e+00	3.379060e+03	8.101190e+03	4.484860e+03	1.000000e+05	1.910000e+02
6.000000e+04	6.311000e+06	1.785971e+09	9.793527e+00	3.376880e+03	8.089070e+03	4.477150e+03	1.000000e+05	1.910000e+02
8.000000e+04	6.291000e+06	2.450000e+09	9.812234e+00	3.374710e+03	8.076890e+03	4.469540e+03	1.000000e+05	1.910000e+02
8.000100e+04	6.290999e+06	2.450000e+09	9.812234e+00	3.374710e+03	8.076880e+03	4.469530e+03	1.000000e+05	1.910000e+02
1.150000e+05	6.256000e+06	3.615000e+09	9.823338e+00	3.370910e+03	8.055400e+03	4.456430e+03	1.000000e+05	7.000000e+01
1.500000e+05	6.221000e+06	4.780000e+09	9.835265e+00	3.367100e+03	8.033700e+03	4.443610e+03	1.000000e+05	7.000000e+01
1.850000e+05	6.186000e+06	5.945000e+09	9.848103e+00	3.363300e+03	8.011800e+03	4.431080e+03	1.000000e+05	7.000000e+01
2.200000e+05	6.151000e+06	7.110000e+09	9.860843e+00	3.359500e+03	7.989700e+03	4.418850e+03	1.000000e+05	1.650000e+02
2.200010e+05	6.150999e+06	7.110000e+09	9.860843e+00	3.435780e+03	8.558960e+03	4.643910e+03	1.000000e+05	1.650000e+02
2.650000e+05	6.106000e+06	8.655000e+09	9.875946e+00	3.462640e+03	8.645520e+03	4.675400e+03	1.000000e+05	1.650000e+02
3.100000e+05	6.061000e+06	1.020000e+10	9.891345e+00	3.489510e+03	8.732090e+03	4.706900e+03	1.000000e+05	1.650000e+02
3.550000e+05	6.016000e+06	1.177500e+10	9.907055e+00	3.516390e+03	8.818670e+03	4.738400e+03	1.000000e+05	1.650000e+02
4.000000e+05	5.971000e+06	1.335000e+10	9.923574e+00	3.543250e+03	8.905220e+03	4.769890e+03	1.000000e+05	1.650000e+02
