name formula F_0 err_F_0 V_0 err_V_0 K_0 err_K_0 Kprime_0 err_K_prime_0 Debye_0 err_Debye_0 grueneisen_0 err_grueneisen_0 q_0 err_q_0 G_0 err_G_0 Gprime_0 err_Gprime_0 eta_s_0 err_eta_s_0  
Anorthite CaAl2Si2O8 -4015 4 100.61 0  84 5 4.0 1 752 2 0.39 0.05 1.0 1  40 3 1.1 0.5 1.6 1  
Albite NaAlSi3O8 -3719 5 100.45 0  60 5 4.0 1 716 13 0.57 0.03 1.0 1  36 5 1.4 0.5 1.0 1  
Spinel Mg4Al8O16 -8668 32 159.05 0 197 1 5.7 0.2 843 33 1.02 0.04 2.7 0.6 108 10 0.4 0.5 2.7 0.6  
Hercynite Fe4Al8O16 -7324 35 163.37 0 209 2 5.7 1 763 32 1.22 0.07 2.7 1  84 13 0.4 0.5 2.8 1  
Forsterite Mg2SiO4 -2055 2 43.6 0 128 2 4.2 0.2 809   1 0.99 0.03 2.1 0.2  82 2 1.5 0.1 2.3   0.1
Fayalite Fe2SiO4 -1371 1 46.29 0 135 2 4.2 1 619   2 1.06 0.07 3.6 1  51 2 1.5 0.5 1.0   0.6
Mg_Wadsleyite Mg2SiO4 -2028 2 40.52 0 169 3 4.3 0.2 844   7 1.21 0.09 2.0 1 112 2 1.4 0.2 2.6   0.4
Fe_Wadsleyite Fe2SiO4 -1365 7 42.8 0 169 13 4.3 1 665 21 1.21 0.3 2.0 1  72 12 1.4 0.5 1.0 1  
Mg_Ringwoodite Mg2SiO4 -2017 2 39.49 0 185 2 4.2 0.2 878   8 1.11 0.1 2.4 0.4 123 2 1.4 0.1 2.3   0.5
Fe_Ringwoodite Fe2SiO4 -1363 2 41.86 0 213 7 4.2 1 679   8 1.27 0.23 2.4 1  92 10 1.4 0.5 1.8 1 
Enstatite Mg2Si2O6 -2913 2 62.68 0 107 2 7.0 0.4 812   4 0.78 0.04 3.4 0.4  77 1 1.5 0.1 2.5   0.1
Ferrosilite Fe2Si2O6 -2226 4 65.94 0 101 4 7.0 0.5 674 10 0.72 0.08 3.4 1  52 5 1.5 0.5 1.1 1  
Mg_Tschermaks MgAl2SiO6 -3003 9 59.14 0 107 10 7.0 1 784 24 0.78 0.3 3.4 1  97 10 1.5 0.5 2.5 1  
Ortho_Diopside CaMgSi2O6 -3016 3 68.05 0 107 10 7.0 1 745 9 0.78 0.3 3.4 1 60 10 1.5 0.5 1.4 1
Diopside CaMgSi2O6 -3030 2 66.04 0 112 5 5.2 1.8 782   3 0.96 0.05 1.5 2  67 2 1.4 0.5 1.6 1 
Hedenbergite CaFeSi2O6 -2677 45 67.87 0 119 4 5.2 1 702   2 0.94 0.06 1.5 1  61 1 1.2 0.5 1.6 1 
Clinoenstatite Mg2Si2O6 -2906 3 62.5 0 112 10 5.2 1 805 10 0.96 0.3 1.5 1  81 10 1.7 0.5 1.7 1  
Ca_Tschermaks CaAl2SiO6 -3120 5 63.57 0 112 10 5.2 1 804   5 0.78 0 1.5 1  76 10 1.6 0.5 2.0 1 
Jadeite NaAlSi2O6 -2855 3 60.51 0 142 2 5.2 1 821 12 0.90 0.08 0.4 1.4  85 2 1.4 0.5 2.2 1  
