# TK	PGPa	Density	g/cm3	C11	GPa	C22	GPa	C33	GPa	C44	GPa	C55	GPa	C66	GPa	C12	GPa	C13	GPa	C23	GPa	KS	GPa	G	GPa
300	0.0001	3.343	0.002	320.2	1.9	196.5	1	232.3	0.8	63.2	0.4	76.6	0.5	79.7	0.7	71	2	71	1	76	1	129.6	0.9	77.8	0.5
300	3.1	3.421	0.003	343	2.5	213	1.8	251	2	69	0.8	82	0.7	87.1	0.9	83	2	82	1	87	1	143.5	1	83.1	0.6
300	5.3	3.472	0.003	358	2.7	225	2	263	2.2	73	0.8	85	0.7	91.2	1	92	2	91	1	95	1	153.4	1	86.3	0.6
300	7.8	3.528	0.003	376.4	3.3	236.7	1.8	273	1.5	75.9	0.6	88.2	0.6	95.4	1	101	2	102	2	104	1	164.1	1	89	0.7
300	9.9	3.573	0.003	387.8	3.3	250	1.9	282.7	1.6	79.5	1	90	0.8	97.7	0.9	109	2	108	2	110	1	172.7	1.2	91.6	0.7
300	12	3.616	0.003	403	3.7	259.1	2.2	293.1	1.5	81	1.2	91.5	0.9	99.2	1	117	2	115	2	119	1	181.5	1.2	93.2	0.8
300	14	3.655	0.003	418	3.7	267.7	2.2	301.9	1.8	83.5	1.2	92	1	101.5	1.4	124	3	123	2	123	2	189.1	1.8	95.1	0.9
300	16.6	3.704	0.003	434.4	4	279.9	2.3	310.8	1.8	85.9	1.5	92.9	1	104.1	1.6	134	4	132	3	134	2	199.7	2	96.7	1
300	19.2	3.752	0.003	449	4	284	2.3	326.3	1.8	87.9	1.6	93.1	1	106.4	1.3	137	4	143	3	141	2	207.9	2	98.4	1.1
500	2.7	3.381	0.002	332	2	204	1	240	2	66.1	0.7	79.4	0.8	82	2	77	3	79	2	82	1	137	2	80	1
500	6.8	3.482	0.002	361	4	226	2	260	2	73.1	0.9	85	1	90	3	93	6	94	3	95	2	154	2	86	1
500	8.6	3.526	0.002	371	4	238	2	271	3	76.3	1	87	1.2	93	3	100	6	100	3	103	2	163	2	88	1
500	10.9	3.579	0.003	385	7	250	4	281	4	79	1	88.6	1.4	96	3	109	7	108	5	109	2	172	3	91	1
500	14.1	3.657	0.003	402	5	263	4	290	3	81.1	1.2	90.6	1.3	98	3	120	6	117	3	119	2	183	3	93	2
750	4	3.384	0.002	333	2	205	1	238	1	66.1	0.4	78.9	0.7	80	1	78	4	80	2	84	1	137.6	1	79	1
750	5.5	3.427	0.002	344	4	214	2	248	1	68.3	0.6	80.9	0.9	83	3	84	5	87	3	88	2	145	2	82	1
750	9	3.509	0.003	368	2	233	1	267	1	74.3	0.3	85.8	0.4	89	1	99	2	99	1	101	1	161	2	86	1
750	10.4	3.542	0.003	373	4	237	3	272	2	75.6	0.7	86.3	0.7	92	2	103	4	103	3	104	2	164	2	88	1
750	12.5	3.59	0.003	384	4	245	3	278	2	77.4	0.7	88.3	0.7	93	2	105	4	106	2	112	2.2	170	2	89	2
900	4.5	3.378	0.002	330	5	203	3	236	3	65.3	0.6	78.2	0.8	78	2	73	3	79	2	84	3	136	2	78	1
900	8.4	3.475	0.003	356	5	223	3	258	3	71.4	0.9	82.6	0.7	84	2	91	4	93	3	96	2	153	3	83	1
900	10.1	3.515	0.003	364	6	231	4	263	3	73.4	0.9	84.7	0.7	87	2	97	4	97	3	99	3	158	3	85	1
900	13.3	3.578	0.003	381	7	247	4	279	4	76.7	1	86.7	0.9	92	3	100	4	104	3	112	3	169	3	89	2
