Sample  p_an    Space_group Z   a       a_err   b       b_err   c       c_err   alpha   alpha_err   beta    beta_err    gamma   gamma_err   V       V_err   rho     rho_err
An0     0.00    C1          4   8.1366  0.0002  12.7857 0.0002  7.1582  0.0003  94.253  0.002       116.605 0.002       87.756  0.002       663.98  0.03    2.623   0.003
An25    0.25    C1          4   8.1605  0.0015  12.8391 0.0006  7.1288  0.0003  93.833  0.013       116.440 0.005       89.124  0.005       667.20  0.13    2.653   0.003
An37    0.37    C1          4   8.16577 0.00009 12.8562 0.0001  7.11418 0.00009 93.622  0.001       116.278 0.001       89.679  0.001       668.123 0.012   2.666   0.003
An48    0.48    C1          4   8.1744  0.0002  12.8638 0.0003  7.1102  0.0002  93.525  0.003       116.236 0.001       89.915  0.003       669.10  0.03    2.683   0.003
An60    0.60    I1          8   8.1717  0.0002  12.8752 0.0002  14.2074 0.0003  93.4530 0.0011      116.078 0.001       91.4250 0.0011      1337.98 0.05    2.702   0.003
An67    0.67    I1          8   8.173   0.001   12.869  0.001   15.200  0.001   93.46   0.01        116.06  0.01        90.54   0.01        1338.1  0.1     2.721   0.003
An78    0.78    I1          8   8.1798  0.0003  12.8761 0.0003  14.1974 0.0006  93.423  0.003       116.054 0.003       90.705  0.003       1339.74 0.08    2.725   0.003
An96    0.96    P1          8   8.1789  0.0003  12.8717 0.0006  14.1765 0.0007  93.194  0.005       115.893 0.003       91.195  0.003       1338.84 0.1     2.757   0.003
# Table 1.Sample Chemistry, Unit Cell Parameters, and Densities Determined From Volume and Chemical Analyses
# Data for An0 are from Brown et al.[2006]. 
# Uncertainties in the last digits are given in parentheses.
# Journal of Geophysical Research: Solid Earth10.1002/2015JB012736
# BROWN ET AL.ELASTICITY OF PLAGIOCLASE FELDSPARS
