	# p_an	beta_1	unc_beta_1	beta_2	unc_beta_2	beta_3	unc_beta_3	beta_4	unc_beta_4	beta_5	unc_beta_5	beta_6	unc_beta_6
0	0.00000e+00	1.10980e-02	1.63000e-04	3.37925e-03	9.98500e-05	3.65515e-03	1.35150e-04	2.72725e-04	1.01605e-04	9.43280e-04	1.00120e-04	2.05795e-03	9.98500e-05
1	2.00000e+01	8.69025e-03	3.80500e-05	3.28985e-03	1.00250e-04	3.89970e-03	9.98000e-05	-3.42245e-04	9.62550e-05	-1.22356e-04	1.02334e-04	1.94940e-03	9.92000e-05
2	3.70000e+01	7.32605e-03	8.69500e-05	3.18960e-03	1.00600e-04	3.95025e-03	9.98500e-05	-8.52945e-04	1.09625e-04	-5.16130e-04	1.00110e-04	1.75035e-03	9.98500e-05
3	4.60000e+01	6.54350e-03	1.08700e-04	3.12965e-03	1.00250e-04	3.97990e-03	9.90000e-05	-1.29145e-03	9.89500e-05	-4.22690e-04	1.00110e-04	1.42210e-03	1.00500e-04
4	4.80000e+01	7.00000e-03	1.19600e-04	3.19120e-03	5.11000e-05	3.88685e-03	1.13450e-04	-8.71655e-04	1.01605e-04	-3.58175e-04	1.02335e-04	1.71040e-03	9.99000e-05
5	6.00000e+01	6.17530e-03	1.09100e-04	3.21050e-03	8.05000e-05	4.02040e-03	1.00200e-04	-1.87435e-03	9.89500e-05	-9.45480e-04	1.02320e-04	2.11915e-03	9.98500e-05
6	6.80000e+01	5.71080e-03	1.06000e-04	3.27980e-03	3.06000e-05	4.06050e-03	1.01000e-04	-2.31285e-03	1.04250e-04	-1.26585e-03	1.02350e-04	2.26830e-03	9.99000e-05
7	7.80000e+01	5.43025e-03	5.30759e-05	3.27903e-03	5.12428e-05	4.05908e-03	5.94481e-05	-2.75935e-03	8.31911e-05	-1.51612e-03	9.74985e-05	2.61682e-03	8.07369e-05
8	8.90000e+01	5.03125e-03	9.97500e-05	3.34015e-03	4.99500e-05	4.05125e-03	1.00650e-04	-3.55345e-03	9.89500e-05	-2.09790e-03	9.79000e-05	2.28695e-03	9.98500e-05
9	9.60000e+01	4.91270e-03	1.43400e-04	3.06925e-03	1.00250e-04	3.93020e-03	9.98000e-05	-3.50000e-03	9.89000e-05	-1.29920e-03	1.98000e-04	2.14780e-03	9.92000e-05
