row	M_an0	M_unc_an0	M_an25	M_unc_an25	M_an37	M_unc_an37	M_an48	M_unc_an48	M_an60	M_unc_an60	M_an67	M_unc_an67	M_an78	M_unc_an78	M_an96	M_unc_an96
values	M	M_unc	M	M_unc	M	M_unc	M	M_unc	M	M_unc	M	M_unc	M	M_unc	M	M_unc
p_an	0	0	25	25	37	37	48	48	60	60	67	67	78	78	96	96
# “Orthorhombic” Moduli																
C11	68.3	0.8	87.1	1.3	96.2	1.6	104.6	1.9	109.3	1.7	120.3	4.2	120.4	2.6	132.2	3
C22	184.3	4.9	174.9	5.2	189.4	4.9	201.4	6.6	185.5	2.3	193.5	4.4	191.6	6.3	200.2	5.4
C33	180	3	166.1	4.7	171.9	4.5	172.8	5.1	164.1	1.9	171.9	5	163.7	5	163.9	4.1
C44	25	0.1	22.9	0.2	23.6	0.1	22.9	0.1	22.2	0.1	24	0.1	23.3	0.1	24.6	0.1
C55	26.9	0.1	29	0.2	33.1	0.3	33	0.3	33.1	0.2	35.5	0.3	32.8	0.3	36.6	0.2
C66	33.6	0.2	35	0.3	35.5	0.3	35.6	0.2	36.8	0.3	37.3	0.4	35	0.5	36	0.3
C12	32.2	1.6	43.9	2	46.1	2.5	51.5	2.8	53.1	1.1	54.4	3.7	56.6	3.4	64	3.5
C13	30.4	1.5	35.4	1.9	38.4	2.2	43.9	2.4	42.1	2.1	40.8	3.2	49.9	2.9	55.3	2.8
C23	5	2.6	18	3.7	15.4	4	14.5	4.5	21.9	2.8	16.1	4.7	26.3	4.5	31.9	3.7
# Remaining Off-Diagonal Moduli																
C15	-2.3	0.3	-0.4	0.4	-0.2	0.4	0.1	0.5	1.2	0.4	2.3	1	3.2	0.6	5.1	0.6
C25	-7.8	0.7	-2.9	0.8	-5.1	1.1	-4.8	1.2	0.7	0.8	3.1	1.6	5.4	1	3.5	0.9
C35	7.5	0.6	4.6	0.8	7.2	1.1	6.9	1	2.5	0.8	2.2	1.5	1.7	0.9	0.5	0.9
C46	-7.2	0.1	-5.2	0.2	-4.8	0.2	-3.8	0.2	1.4	0.1	0.3	0.2	0.9	0.2	-2.2	0.1
C14	4.9	0.2	6.1	0.3	5.9	0.3	6.5	0.4	7.6	0.3	9.2	0.6	9	0.5	9.5	0.5
C16	-0.9	0.3	-0.6	0.4	-0.4	0.5	-0.8	0.5	-7.7	0.5	-10.1	1.4	-3	0.6	-10.8	0.7
C24	-4.4	0.6	-5.9	0.6	-7	0.6	-2.4	0.6	-2.9	0.5	0.9	1	2.1	0.9	7.5	0.6
C26	-6.4	0.9	-6.5	0.9	-6.8	1.2	-9.9	1.2	-6.8	1.1	-2.9	2.1	-9.9	1.3	-7.2	1.3
C34	-9.2	0.4	-2.9	0.5	2.2	0.7	-0.4	0.5	0.2	0.5	-0.9	1	1.7	0.9	6.6	0.6
C36	-9.4	0.6	-10.7	0.9	-9.8	0.9	-5.7	1	0.7	0.8	-0.3	1.2	-8.1	1.1	1.6	1
C45	-2.4	0.1	-1.3	0.1	-1.1	0.2	-1	0.2	0.2	0.1	0.7	0.2	0.8	0.1	3	0.1
C56	0.6	0.1	0.8	0.2	1.4	0.2	2.1	0.3	2.8	0.2	3.2	0.3	4.5	0.3	5.2	0.2
