# P	P_err	a	a_err	b	b_err	c	c_err	V	V_err
66.31	0.19893	3.8971	0.0007	4.0008	0.0008	2.5658	0.0002	40.005	0.013
69.58	0.20874	3.8829	0.0007	3.9955	0.0007	2.5608	0.0003	39.729	0.013
76.42	0.22926	3.8467	0.0011	4.0114	0.0012	2.5509	0.0004	39.363	0.021
81.72	0.24516	3.8325	0.0009	3.9848	0.001	2.5438	0.0002	38.848	0.016
89.39	0.26817	3.817	0.001	3.9787	0.0011	2.5339	0.0002	38.481	0.017
94.64	0.28392	3.8014	0.001	3.975	0.0011	2.5279	0.0002	38.198	0.017
99.41	0.29823	3.7882	0.0009	3.9709	0.001	2.5221	0.0002	37.939	0.016
103.7	0.3111	3.7773	0.001	3.9664	0.0011	2.5169	0.0003	37.709	0.017
106.9	0.3207	3.7675	0.0006	3.9576	0.0007	2.513	0.0002	37.469	0.011
114.6	0.3438	3.7505	0.0007	3.9533	0.0008	2.5065	0.0003	37.164	0.013
120.4	0.3612	3.7364	0.0007	3.9482	0.0008	2.4998	0.0002	36.876	0.013
124.1	0.3723	3.727	0.0008	3.9449	0.0009	2.496	0.0003	36.699	0.013
128	0.384	3.7201	0.0008	3.9422	0.0009	2.4913	0.0003	36.535	0.014
