# P	P_err	a	a_err	c	c_err	V	V_err
0.0001	0.00001	4.17755	0.00016	2.66518	0.00034	46.5126	0.0061
1.168	0.006	4.17119	0.00027	2.66356	0.0003	46.3429	0.0053
2.299	0.008	4.16504	0.00011	2.6618	0.00024	46.1756	0.0043
3.137	0.008	4.16051	0.00014	2.66062	0.00029	46.055	0.0051
4.252	0.008	4.15488	0.00013	2.65868	0.00026	45.8969	0.0045
5.037	0.011	4.15084	0.00015	2.65767	0.0003	45.7902	0.0053
5.851	0.009	4.14669	0.00012	2.65612	0.00022	45.6721	0.0038
6.613	0.008	4.14323	0.00014	2.6547	0.00027	45.5715	0.005
7.504	0.009	4.13888	0.00012	2.6534	0.00022	45.4536	0.0041
8.264	0.011	4.13555	0.00015	2.65226	0.0003	45.3609	0.0056
9.635	0.012	4.12962	0.00011	2.64976	0.00023	45.1885	0.0042
11.69	0.03507	4.1217	0.0001	2.6458	0.0001	44.947	0.002
17.67	0.05301	4.0962	0.0001	2.6381	0.0001	44.264	0.002
22.38	0.06714	4.0781	0.0001	2.6321	0.0002	43.776	0.003
29.38	0.08814	4.0552	0.0003	2.6192	0.0005	43.073	0.009
37.71	0.11313	4.0287	0.0003	2.6048	0.0004	42.278	0.008
46.03	0.13809	4.0035	0.0004	2.5919	0.001	41.544	0.017
52.73	0.15819	3.9859	0.0004	2.5806	0.0004	40.999	0.009
26.32	0.07896	4.0576	0.0002	2.6217	0.0003	43.164	0.006
30.98	0.09294	4.044	0.0002	2.6155	0.0003	42.772	0.005
34.21	0.10263	4.0308	0.0001	2.6101	0.0002	42.407	0.003
38.45	0.11535	4.0207	0.0002	2.6037	0.0002	42.093	0.004
43.37	0.13011	4.003	0.0002	2.5966	0.0002	41.61	0.004
47.49	0.14247	3.9907	0.0003	2.5921	0.0004	41.28	0.007
50.47	0.15141	3.9836	0.0002	2.5837	0.0004	41	0.008
55.91	0.16773	3.9755	0.0003	2.5767	0.0008	40.724	0.013
57.56	0.17268	3.9725	0.0003	2.5788	0.0009	40.695	0.015
