# Pressure(GPa) Uncertainty(GPa) Temperature(°C) Uncertainty(°C) VP(km/s) Uncertainty(km/s) VS(km/s) Uncertainty(km/s) Density(g/cm³) Uncertainty(g/cm³) KS(GPa) Uncertainty(GPa) G(GPa) Uncertainty(GPa)
14.5 0.2 800 5 12.277 0.061 7.223 0.036 4.417 0.002 353.9 0.53 227.7 0.34
13.8 0.2 800 5 12.238 0.061 7.214 0.036 4.407 0.002 349.7 0.52 226.7 0.34
13.4 0.2 800 5 12.222 0.061 7.201 0.036 4.402 0.002 348.7 0.52 225.6 0.34
12.1 0.2 800 5 12.163 0.061 7.200 0.036 4.386 0.002 341.4 0.51 224.7 0.34
10.9 0.2 800 5 12.099 0.060 7.196 0.036 4.370 0.002 333.9 0.50 223.6 0.34
14.3 0.2 600 5 12.316 0.062 7.247 0.036 4.431 0.002 357.2 0.54 230.0 0.35
13.5 0.2 600 5 12.299 0.061 7.256 0.036 4.421 0.002 353.8 0.53 230.0 0.35
13.4 0.2 600 5 12.264 0.061 7.244 0.036 4.420 0.002 351.0 0.53 229.2 0.34
11.7 0.2 600 5 12.210 0.061 7.234 0.036 4.399 0.002 344.5 0.52 227.5 0.34
10.6 0.2 600 5 12.162 0.061 7.241 0.036 4.384 0.002 337.7 0.51 227.1 0.34
13.9 0.2 400 5 12.378 0.062 7.300 0.036 4.443 0.002 360.4 0.54 233.9 0.35
13.0 0.2 400 5 12.349 0.062 7.301 0.037 4.432 0.002 356.2 0.53 233.4 0.35
12.9 0.2 400 5 12.325 0.062 7.290 0.036 4.430 0.002 354.4 0.53 232.7 0.35
11.6 0.2 400 5 12.267 0.061 7.293 0.036 4.414 0.002 346.8 0.52 232.0 0.35
10.2 0.2 400 5 12.207 0.061 7.284 0.036 4.396 0.002 339.8 0.51 230.5 0.35
13.5 0.2 200 5 12.424 0.062 7.336 0.037 4.452 0.002 363.0 0.54 236.7 0.36
12.7 0.2 200 5 12.398 0.062 7.339 0.037 4.442 0.002 359.1 0.54 236.4 0.35
12.6 0.2 200 5 12.383 0.062 7.323 0.037 4.440 0.002 358.7 0.54 235.3 0.35
11.3 0.2 200 5 12.337 0.062 7.332 0.037 4.424 0.002 351.7 0.53 235.0 0.35
9.9 0.2 200 5 12.275 0.061 7.329 0.037 4.407 0.002 344.1 0.52 233.9 0.35
13.1 0.2 27 5 12.445 0.062 7.362 0.037 4.458 0.002 363.5 0.55 238.7 0.36
12.2 0.2 27 5 12.425 0.062 7.357 0.037 4.447 0.002 360.9 0.54 237.8 0.36
12.2 0.2 27 5 12.424 0.062 7.356 0.037 4.447 0.002 360.9 0.54 237.7 0.36
10.7 0.2 27 5 12.362 0.062 7.347 0.037 4.428 0.002 353.4 0.53 236.2 0.35
9.8 0.2 27 5 12.320 0.062 7.352 0.037 4.417 0.002 347.6 0.52 235.9 0.35
9.6 0.2 27 5 12.317 0.062 7.355 0.037 4.415 0.002 346.9 0.52 235.9 0.35
7.6 0.2 27 5 12.242 0.061 7.347 0.037 4.389 0.002 337.6 0.51 234.0 0.35
6.3 0.2 27 5 12.196 0.061 7.342 0.037 4.372 0.002 331.9 0.50 232.8 0.35
4.7 0.2 27 5 12.163 0.061 7.331 0.037 4.352 0.002 327.9 0.49 231.1 0.35
3.5 0.2 27 5 12.124 0.061 7.326 0.037 4.336 0.002 323.1 0.48 229.9 0.34
