# P_Gpa	 P_Uncertainty	 a_p (Å)	 a_p_Uncertainty	 a	 a_Uncertainty	 b	 b_Uncertainty	 c	 c_Uncertainty	 V	 V_Uncertainty
0.0001	0.00001	4.028	0.003	4.182	0.002	4.182	0.002	2.666	0.002	14.04	0.01
7	0.3	4.01	0.003	4.153	0.002	4.153	0.002	2.652	0.002	13.77	0.01
18	0.4	3.966	0.003	4.105	0.003	4.105	0.003	2.641	0.004	13.39	0.02
31.2	0.6	3.909	0.003	4.048	0.004	4.048	0.004	2.632	0.005	12.98	0.03
39.2	0.8	3.88	0.003	4.031	0.004	4.031	0.004	2.605	0.003	12.74	0.02
51	1.2	3.842	0.003	4.024	0.009	3.952	0.009	2.599	0.005	12.44	0.02
60.5	1.4	3.815	0.003	4.023	0.009	3.899	0.009	2.567	0.005	12.13	0.02
68.4	1.6	3.795	0.003	4.023	0.009	3.865	0.008	2.558	0.005	11.98	0.02
72.6	1.8	3.785	0.003	4.015	0.009	3.848	0.004	2.551	0.005	11.86	0.02
79.7	2.1	3.769	0.004	4.005	0.009	3.831	0.002	2.54	0.005	11.75	0.02
84.6	2.2	3.758	0.003	4	0.004	3.82	0.003	2.534	0.005	11.66	0.02
89.2	2.4	3.748	0.002	3.986	0.004	3.812	0.005	2.528	0.003	11.56	0.02
95	2.6	3.737	0.002	3.981	0.002	3.801	0.004	2.523	0.002	11.5	0.01
