# T(K)	a	a_err	b	b_err	c	c_err	V	V_err
291.15	4.1789	0.00208945	4.1789	0.00208945	2.6664	0.00208945	46.56389037	0.049147819
413.15	4.1834	0.0020917	4.1834	0.0020917	2.666	0.0020917	46.6572276	0.049279652
473.15	4.1852	0.0020926	4.1852	0.0020926	2.6667	0.0020926	46.70964797	0.049339583
523.15	4.1864	0.0020932	4.1864	0.0020932	2.6674	0.0020932	46.74870559	0.0493815
573.15	4.1881	0.00209405	4.1881	0.00209405	2.6672	0.00209405	46.78317239	0.049431031
773.15	4.195	0.0020975	4.195	0.0020975	2.6699	0.0020975	46.98496695	0.049661643
291.15	4.1795	0.00208975	4.1795	0.00208975	2.6649	0.00208975	46.55106014	0.049153415
								
663.15	4.1922	0.0020961	4.1922	0.0020961	2.6686	0.0020961	46.89941969	0.049566275
723.15	4.1937	0.00209685	4.1937	0.00209685	2.6698	0.00209685	46.95409215	0.04962154
773.15	4.1951	0.00209755	4.1951	0.00209755	2.67	0.00209755	46.98896691	0.049665497
823.15	4.1967	0.00209835	4.1967	0.00209835	2.6713	0.00209835	47.04771265	0.049724693
873.15	4.1987	0.00209935	4.1987	0.00209935	2.6713	0.00209935	47.09256592	0.049785202
