# This paper was solely studying stv.
# P	    T	    a	    a_err	c	    c_err	V	    V_err
0	    300	    4.178	0.001	2.668	0.001	46.56	0.02
4.76	300	    4.152	0.001	2.658	0.001	45.82	0.02
7.51	300	    4.139	0.001	2.653	0.001	45.46	0.01
10.7	300	    4.124	0.001	2.647	0.001	45.03	0.02
13.55	300	    4.111	0.001	2.641	0.001	44.64	0.01
14.63	300	    4.106	0.001	2.64	0.001	44.51	0.02
16.19	300	    4.1	    0.001	2.637	0.001	44.32	0.02
17.87	300 	4.093	0.001	2.634	0.001	44.11	0.02
19.53	300 	4.088	0.001	2.629	0.001	43.92	0.02
21.23	300	    4.08	0.001	2.626	0.001	43.73	0.02
5.03	473	    4.155	0.001	2.658	0.001	45.88	0.02
7.79	473	    4.141	0.001	2.655	0.001	45.53	0.02
10.95	473	    4.127	0.001	2.647	0.001	45.08	0.02
13.82	473	    4.113	0.001	2.642	0.001	44.69	0.01
14.91	473	    4.107	0.001	2.641	0.001	44.55	0.02
16.39	473	    4.101	0.001	2.638	0.001	44.37	0.02
18.1	473	    4.095	0.001	2.634	0.001	44.17	0.02
19.77	473	    4.088	0.001	2.63	0.001	43.95	0.02
21.47	473	    4.082	0.001	2.627	0.001	43.78	0.03
5.49	673	    4.158	0.001	2.659	0.001	45.97	0.01
8.23	673 	4.144	0.001	2.655	0.001	45.59	0.01
11.39	673 	4.129	0.001	2.648	0.001	45.16	0.02
14.19	673	    4.115	0.001	2.643	0.001	44.76	0.02
15.29	673	    4.11	0.001	2.642	0.001	44.61	0.02
16.81	673	    4.104	0.001	2.639	0.001	44.44	0.02
18.44	673	    4.097	0.001	2.635	0.001	44.23	0.02
20.07	673	    4.091	0.001	2.631	0.001	44.02	0.02
21.75	673	    4.084	0.001	2.628	0.001	43.82	0.02
6.03	873	    4.161	0.001	2.661	0.001	46.08	0.01
8.76	873	    4.147	0.001	2.656	0.001	45.69	0.01
11.9	873	    4.132	0.001	2.65	0.001	45.25	0.02
14.66	873	    4.118	0.001	2.644	0.001	44.85	0.01
15.73	873	    4.112	0.001	2.643	0.001	44.69	0.02
17.25	873	    4.106	0.001	2.64	0.001	44.51	0.02
18.83	873	    4.1	    0.001	2.636	0.001	44.31	0.01
20.46	873	    4.093	0.001	2.632	0.001	44.09	0.01
22.09	873	    4.086	0.001	2.63	0.001	43.91	0.02
9.31	1073	4.151	0.001	2.658	0.001	45.8	0.01
12.37	1073	4.135	0.001	2.651	0.001	45.33	0.02
15.01	1073	4.121	0.001	2.645	0.001	44.92	0.01
16.14	1073	4.115	0.001	2.644	0.001	44.77	0.01
17.64	1073	4.109	0.001	2.641	0.001	44.59	0.03
19.24	1073	4.103	0.001	2.637	0.001	44.4	0.03
20.87	1073	4.096	0.001	2.632	0.001	44.15	0.02
22.47	1073	4.088	0.001	2.631	0.001	43.97	0.02
