# P(GPa)    P_uncertainty(GPa)   T(K)   T_uncertainty(K)   V_SiO2(Å³)   V_SiO2_uncertainty(Å³)   V_NaCl(Å³)   V_NaCl_uncertainty(Å³)
64.8      0.8                  300    5                  40.28        0.04                     23.06        0.07
68.1      0.6                  300    5                  40.00        0.05                     22.77        0.05
79.5      0.6                  300    5                  38.91        0.6                      21.88        0.04
81.7      0.7                  300    5                  38.73        0.4                      21.76        0.04
87.7      1.2                  300    5                  38.49        0.4                      21.32        0.09
89.8      1.8                  300    5                  38.22        0.3                      21.19        0.12
91.1      1.8                  300    5                  38.17        0.6                      21.10        0.13
96.2      1.4                  300    5                  37.29        0.4                      20.47        0.06
103.1     1.4                  300    5                  37.16        0.7                      20.41        0.8
109.5     1.6                  300    5                  36.87        0.5                      20.08        0.12
119.3     1.3                  300    5                  36.33        0.4                      19.59        0.10
125.4     2.6                  300    5                  36.05        0.7                      19.36        0.07
83.4      1.6                  1150   120                38.42        0.5                      21.88        0.9
116.0     2.0                  1150   120                36.82        0.5                      19.95        0.12
64.4      1.4                  1180   120                40.46        0.4                      23.46        0.9
65.1      1.8                  1580   160                40.56        0.3                      23.56        0.6
85.6      9.9                  1450   150                38.88        0.4                      21.87        0.9
92.7      9.9                  1550   160                38.21        0.5                      21.36        0.6
109.9     9.9                  1500   150                37.19        0.3                      20.35        0.6
127.3     3.2                  1500   150                36.28        0.6                      19.50        0.12
141.2     2.8                  1600   160                35.73        0.7                      18.94        0.15
65.7      1.4                  1700   170                40.65        0.3                      23.57        0.9
71.8      1.4                  1750   180                40.16        0.3                      23.02        0.10
92.8      1.8                  1800   180                38.45        0.4                      21.44        0.11
96.9      1.8                  1700   170                38.21        0.5                      21.15        0.12
117.8     2.4                  1700   170                36.89        0.5                      19.95        0.15
128.3     2.6                  1700   170                36.28        0.8                      19.50        0.16
142.0     4.8                  1700   170                35.73        1.0                      18.93        0.17
86.8      1.8                  1900   190                38.95        0.3                      21.88        0.10
97.5      2.0                  1930   190                38.21        0.5                      21.17        0.12
117.9     2.4                  1930   190                37.02        0.5                      20.04        0.13
128.9     2.6                  1900   190                36.30        0.6                      19.52        0.15
73.9      1.4                  2100   210                40.30        0.3                      22.98        0.8
90.6      1.8                  2120   210                38.89        0.3                      21.68        0.11
96.6      2.0                  2100   210                38.31        0.4                      21.29        0.12
97.7      2.0                  2250   230                38.29        0.5                      21.25        0.12
98.3      2.0                  2130   210                38.25        0.5                      21.18        0.13
114.7     2.4                  2100   210                37.33        0.7                      20.25        0.14
119.5     2.8                  2100   210                37.00        0.7                      20.01        0.14
128.5     3.6                  2200   220                36.38        0.4                      19.61        0.14
131.1     4.5                  2200   220                36.34        0.9                      19.49        0.14
