
# This paper was almost solely studying stv. 
# Just a few post-stv data points, not in this table
# (see their Fig 2)
# Data Number	T (K)	P (GPa)	Stishovite	Au V (Å3)
a (Å)	c (Å)	V (Å3)
M1034007	1300	19.32(10)	4.1145(3)	2.6464(4)	44.80(2)	63.84(2)
M1034008	1100	18.9(2)	4.1105(3)	2.6443(2)	44.68(2)	63.57(3)
M1034009	900	18.5(2)	4.1062(4)	2.6422(3)	44.55(2)	63.30(4)
M1034010	700	17.9(2)	4.1031(2)	2.6390(2)	44.43(3)	63.08(3)
M1034011	500	17.5(2)	4.1002(4)	2.6377(4)	44.34(3)	62.84(2)
M1034012	300	16.85(12)	4.0987(3)	2.6359(2)	44.28(2)	62.66(2)
M1036003	1300	25.6(2)	4.0866(2)	2.6345(3)	44.00(2)	62.24(2)
M1036004	1100	25.02(2)	4.0828(3)	2.6337(4)	43.90(2)	62.04(2)
M1036005	900	24.6(3)	4.0792(6)	2.6304(9)	43.77(4)	61.82(4)
M1036006	700	24.1(2)	4.07704(5)	2.62788(8)	43.681(4)	61.64(2)
M1036007	500	23.4(2)	4.0751(4)	2.6235(9)	43.60(5)	61.48(3)
M1036008	300	23.05(10)	4.0743(4)	2.6237(5)	43.55(4)	61.28(1)
M1036012	1300	30.9(2)	4.0630(2)	2.6260(4)	43.35(4)	61.06(3)
M1036013	1100	30.3(2)	4.0600(4)	2.6232(3)	43.24(2)	60.90(2)
M1036014	900	29.98(2)	4.0591(4)	2.6197(3)	43.16(3)	60.70(3)
M1036015	700	29.5(2)	4.0545(3)	2.6192(2)	43.06(3)	60.5(2)
M1036016	500	29.1(3)	4.0538(4)	2.6181(5)	43.02(2)	60.36(3)
M1036017	300	28.5(2)	4.0513(7)	2.6167(5)	42.95(4)	60.22(2)
M914003	1700	38.5(4)	4.0462(4)	2.6211(6)	42.91(3)	60.08(4)
M914005	1500	37.7(3)	4.0425(4)	2.6193(7)	42.80(3)	59.98(3)
M914006	1300	37.4(4)	4.0392(5)	2.6172(8)	42.70(4)	59.80(4)
M914007	1100	36.7(4)	4.0365(6)	2.6155(10)	42.62(5)	59.68(5)
M914008	900	36.4(4)	4.0340(7)	2.6135(10)	42.53(5)	59.50(4)
M914009	700	35.9(3)	4.0322(5)	2.6121(9)	42.47(4)	59.36(3)
M914010	500	35.1(2)	4.0308(4)	2.6109(7)	42.42(3)	59.28(3)
M914011	300	34.2(3)	4.0302(4)	2.6105(7)	42.40(3)	59.21(3)
M942004	1700	40.4(4)	4.0406(4)	2.6177(7)	42.74(3)	59.74(4)
M942005	1500	40.1(4)	4.0362(3)	2.6153(5)	42.60(2)	59.54(4)
M942006	1300	39.3(3)	4.0339(4)	2.6125(7)	42.51(3)	59.46(3)
M942007	1100	39.0(2)	4.0310(3)	2.6106(6)	42.42(3)	59.27(2)
M942008	900	38.5(2)	4.0290(5)	2.6085(9)	42.34(4)	59.13(2)
M942009	700	38.0(2)	4.0263(4)	2.6070(7)	42.26(3)	59.00(2)
M942010	500	37.4(2)	4.0247(2)	2.6062(4)	42.21(2)	58.89(3)
M942011	300	36.8(3)	4.0234(4)	2.6058(8)	42.18(4)	58.77(3)
M915004	1700	46.1(5)	4.0201(5)	2.6081(8)	42.15(4)	58.75(5)
M915005	1500	45.9(2)	4.0168(4)	2.6056(7)	42.04(4)	58.56(2)
M915006	1300	45.6(4)	4.0143(3)	2.6039(5)	41.96(2)	58.40(4)
M915007	1100	44.88(11)	4.0117(3)	2.6024(6)	41.88(3)	58.31(1)
M915008	900	44.5(2)	4.0095(3)	2.6010(5)	41.81(2)	58.17(2)
M915009	700	43.9(2)	4.0079(2)	2.5993(4)	41.75(2)	58.07(2)
M915010	500	43.3(2)	4.0064(4)	2.5988(8)	41.71(4)	57.97(4)
M915011	300	42.5(4)	4.0058(3)	2.5977(5)	41.68(2)	57.89(5)
M941009	1700	48.1(3)	4.01369(10)	2.60407(10)	41.951(14)	58.41(2)
M941010	1500	47.8(4)	4.01017(10)	2.60158(10)	41.837(14)	58.26(3)
M941011	1300	47.4(2)	4.0063(3)	2.5999(6)	41.73(3)	58.12(4)
M941012	1100	47.3(2)	4.0036(2)	2.5977(4)	41.64(2)	57.94(2)
M941013	900	47.10(13)	4.0004(3)	2.5954(5)	41.54(2)	57.78(2)
M941014	700	47.1(2)	3.9972(4)	2.5939(6)	41.45(3)	57.60(3)
M941015	500	46.6(2)	3.9957(4)	2.5924(6)	41.39(3)	57.48(2)
M941016	300	46.16(12)	3.9948(3)	2.5916(6)	41.36(3)	57.373(10)
M922006	1300	54.4(3)	3.9863(4)	2.5901(7)	41.16(3)	57.10(4)
M922007	1100	54.5(3)	3.9833(4)	2.5877(7)	41.06(3)	56.91(3)
M922008	900	54.4(2)	3.9801(7)	2.5857(12)	40.96(6)	56.76(3)
M922009	700	54.0(3)	3.9781(4)	2.5839(6)	40.89(3)	56.64(2)
M922010	500	53.7(4)	3.9758(7)	2.5822(13)	40.82(6)	56.53(3)
M922011	300	53.4(4)	3.9750(7)	2.5819(12)	40.80(5)	56.41(3)
