# P (GPa) 	err	a (A) 	err	b (A) 	err	c (A) 	err	V (Å) 	err	ρ (g/cm3) 	err
0.0001 	0.000001	4.1771	0.001	4.1771	0.001	2.669	0.0008	46.57	0.03	4.286	0.003
4.3	0.1	4.1539	0.0006	4.1539	0.0006	2.6611	0.0008	45.92	0.01	4.347	0.001
5.9	0.1	4.1466	0.0006	4.1466	0.0006	2.6596	0.0008	45.73	0.01	4.365	0.001
7.4	0.1	4.1387	0.0006	4.1387	0.0006	2.6561	0.0008	45.5	0.01	4.388	0.001
9	0.1	4.1319	0.0006	4.1319	0.0006	2.6541	0.0008	45.31	0.01	4.405	0.001
10.4	0.1	4.1255	0.0006	4.1255	0.0006	2.6518	0.0008	45.13	0.01	4.423	0.001
12.8	0.1	4.1156	0.0006	4.1156	0.0006	2.6479	0.0008	44.85	0.01	4.451	0.001
14.8	0.1	4.1074	0.0006	4.1074	0.0006	2.6446	0.0008	44.62	0.01	4.474	0.001
16.1	0.1	4.1023	0.0006	4.1023	0.0006	2.6424	0.0008	44.47	0.01	4.489	0.001
17.1	0.1	4.0992	0.0006	4.0992	0.0006	2.6416	0.0008	44.39	0.01	4.497	0.001
18.3	0.1	4.0949	0.0006	4.0949	0.0006	2.6395	0.0008	44.26	0.01	4.51	0.001
19.6	0.1	4.09	0.0006	4.09	0.0006	2.6375	0.0008	44.12	0.01	4.524	0.001
19.8	0.1	4.0889	0.0006	4.0889	0.0006	2.6371	0.0008	44.09	0.01	4.527	0.001
21.9	0.1	4.082	0.0006	4.082	0.0006	2.6322	0.0008	43.86	0.01	4.551	0.001
23	0.2	4.0785	0.0006	4.0785	0.0006	2.631	0.0008	43.76	0.01	4.561	0.001
25.3	0.1	4.0705	0.0006	4.0705	0.0006	2.6278	0.0008	43.54	0.01	4.585	0.001
26.8	0.1	4.0654	0.0006	4.0654	0.0006	2.6261	0.0008	43.4	0.01	4.599	0.001
27.6	0.2	4.0612	0.0006	4.0612	0.0006	2.6238	0.0008	43.27	0.01	4.613	0.001
29.2	0.2	4.0566	0.0006	4.0566	0.0006	2.6221	0.0008	43.15	0.01	4.626	0.001
30.8	0.2	4.0528	0.0006	4.0528	0.0006	2.6203	0.0008	43.04	0.01	4.638	0.001
32.1	0.2	4.0485	0.0006	4.0485	0.0006	2.6174	0.0008	42.9	0.01	4.653	0.001
33.8	0.2	4.0422	0.0005	4.0422	0.0005	2.6166	0.0008	42.75	0.01	4.669	0.001
35.2	0.2	4.0393	0.0005	4.0393	0.0005	2.6133	0.0007	42.64	0.01	4.682	0.001
37.3	0.2	4.0328	0.0006	4.0328	0.0006	2.6105	0.0008	42.45	0.01	4.702	0.001
38.6	0.2	4.0293	0.0006	4.0293	0.0006	2.6096	0.0008	42.37	0.01	4.711	0.001
40.3	0.2	4.024	0.0006	4.024	0.0006	2.6062	0.0008	42.2	0.01	4.73	0.001
42.4	0.2	4.016	0.0006	4.016	0.0006	2.6039	0.0008	42	0.01	4.753	0.001
43.9	0.2	4.011	0.0006	4.011	0.0006	2.6015	0.0007	41.85	0.01	4.769	0.001
45.2	0.2	4.008	0.0006	4.008	0.0006	2.5992	0.0008	41.75	0.01	4.781	0.001
47.6	0.2	4.001	0.0006	4.001	0.0006	2.5965	0.0008	41.56	0.01	4.802	0.001
49.4	0.2	3.997	0.0006	3.997	0.0006	2.5929	0.0008	41.42	0.01	4.819	0.001
50.8	0.2	3.994	0.0006	3.994	0.0006	2.5895	0.0007	41.31	0.01	4.832	0.001
52.7	0.2	3.96	0.0112	4.0131	0.0009	2.5886	0.0008	41.14	0.11	4.852	0.013
54.8	0.2	3.9487	0.0015	4.0106	0.0006	2.5844	0.0007	40.93	0.02	4.877	0.002
56.9	0.2	3.9385	0.0015	4.0082	0.0006	2.58	0.0007	40.73	0.02	4.901	0.002
58.4	0.2	3.9319	0.0015	4.0065	0.0006	2.5783	0.0007	40.62	0.02	4.915	0.002
59.9	0.2	3.9242	0.0015	4.0048	0.0006	2.5762	0.0007	40.49	0.02	4.931	0.002
61.5	0.2	3.9168	0.0015	4.0029	0.0006	2.5741	0.0007	40.36	0.02	4.946	0.002
