|6.6.6
pyrolite_1.tab                                                                                      
           2
P(bar)  
   1.0000000000000000     
   15000.090000000000     
         101
T(K)    
   200.00000000000000     
   40.000000000000000     
         101
          14
P(bar)         T(K)           rho,kg/m3      alpha,1/K      beta,1/bar     Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        s,J/K/kg       h,J/kg         cp,J/K/kg      V,J/bar/mol   
  1.00000        200.000        3356.44       0.152527E-004  0.816394E-006  0.125097E+007   767785.        6.10498        8.23230        4.78278        347.836      -0.135117E+008   602.535        2.95581     
  15001.1        200.000        3439.56       0.139111E-004  0.729604E-006  0.138573E+007   837339.        6.34729        8.52920        4.93400        326.918      -0.130765E+008   592.770        2.88438     
  30001.2        200.000        3476.71       0.129530E-004  0.693209E-006  0.145669E+007   858107.        6.47291        8.64912        4.96806        319.868      -0.126441E+008   585.625        2.85356     
  45001.3        200.000        3522.70       0.126509E-004  0.657901E-006  0.153326E+007   891135.        6.59734        8.78944        5.02960        313.083      -0.122166E+008   576.939        2.81630     
  60001.4        200.000        3558.88       0.118994E-004  0.628255E-006  0.160534E+007   913381.        6.71626        8.90663        5.06605        307.424      -0.117941E+008   570.037        2.78768     
  75001.4        200.000        3595.93       0.112450E-004  0.599673E-006  0.168200E+007   939513.        6.83923        9.03390        5.11147        304.410      -0.113754E+008   562.890        2.75895     
  90001.5        200.000        3640.74       0.107895E-004  0.566806E-006  0.177954E+007  0.100231E+007   6.99132        9.25125        5.24694        296.430      -0.109623E+008   551.390        2.72499     
  105002.        200.000        3785.25       0.103296E-004  0.484906E-006  0.207590E+007  0.117799E+007   7.40553        9.81509        5.57858        282.500      -0.105573E+008   530.812        2.62096     
  120002.        200.000        3941.84       0.810788E-005  0.419542E-006  0.240198E+007  0.136297E+007   7.80611        10.3459        5.88021        280.991      -0.101721E+008   498.322        2.51684     
  135002.        200.000        3967.15       0.778326E-005  0.409113E-006  0.246208E+007  0.138380E+007   7.87792        10.4197        5.90606        276.383      -0.979372E+007   493.669        2.50079     
  150002.        200.000        3991.46       0.748578E-005  0.399236E-006  0.252204E+007  0.140167E+007   7.94895        10.4885        5.92593        272.690      -0.941752E+007   489.420        2.48555     
  165002.        200.000        4015.25       0.720924E-005  0.389872E-006  0.258174E+007  0.141863E+007   8.01863        10.5549        5.94399        269.702      -0.904343E+007   485.373        2.47083     
  180002.        200.000        4047.60       0.689326E-005  0.378119E-006  0.266326E+007  0.145541E+007   8.11163        10.6650        5.99646        268.167      -0.867166E+007   477.252        2.45108     
  195002.        200.000        4082.34       0.664088E-005  0.368117E-006  0.273677E+007  0.149005E+007   8.18776        10.7567        6.04152        260.403      -0.830412E+007   470.047        2.43023     
  210002.        200.000        4166.66       0.653492E-005  0.345933E-006  0.290673E+007  0.157405E+007   8.35234        10.9604        6.14631        247.440      -0.794277E+007   458.194        2.38104     
  225002.        200.000        4428.64       0.795463E-005  0.330805E-006  0.310344E+007  0.201813E+007   8.37117        11.4384        6.75055        230.912      -0.759726E+007   441.998        2.24019     
  240002.        200.000        4451.46       0.775880E-005  0.324619E-006  0.316057E+007  0.204049E+007   8.42620        11.4943        6.77042        227.745      -0.726005E+007   439.058        2.22871     
