#depth(km)	Temp(K)
270	1588
320	1626
370	1664
420	1702
470	1736
520	1770
570	1804
620	1839
670	1873
771	1908
871	1941
971	1973
1071	2004
1171	2034
1271	2064
1371	2092
1471	2120
1571	2147
1671	2174
1771	2199
1871	2225
1971	2249
2071	2273
2171	2296
2271	2319
2371	2341
2471	2363
2571	2384
2671	2405
2771	2426
2871	2446
2885	2449
2971	2505
3071	2570
3171	2631
3271	2691
3371	2748
3471	2803
3571	2856
3671	2906
3771	2953
3871	2998
3971	3041
4071	3082
4171	3119
4271	3155
4371	3187
4471	3218
4571	3246
4671	3271
4771	3294
4871	3315
4971	3333
5071	3348
5154	3359
5171	3362
5271	3382
5371	3399
5471	3416
5571	3430
5671	3442
5771	3453
5871	3463
5971	3470
6071	3476
6171	3480
6271	3483
6371	3484
