#Radius	 Grav acc
0.0000000000e+00	0.0000000000e+00
1.2858000000e+04	0.0000000000e+00
2.5716000000e+04	1.7632247871e-02
3.8574000000e+04	4.7019088161e-02
5.1432000000e+04	8.3752059245e-02
6.4289000000e+04	1.2413176550e-01
7.7147000000e+04	1.6651665316e-01
9.0005000000e+04	2.1013184562e-01
1.0286300000e+05	2.5454174182e-01
1.1572100000e+05	2.9949570296e-01
1.2857900000e+05	3.4483749883e-01
1.4143700000e+05	3.9046483672e-01
1.5429500000e+05	4.3630786979e-01
1.6715300000e+05	4.8231727492e-01
1.8001100000e+05	5.2845717442e-01
1.9286800000e+05	5.7470670298e-01
2.0572600000e+05	6.2102400766e-01
2.1858400000e+05	6.6741838640e-01
2.3144200000e+05	7.1386777998e-01
2.4430000000e+05	7.6036216266e-01
2.5715800000e+05	8.0689329059e-01
2.7001600000e+05	8.5345445745e-01
2.8287400000e+05	9.0004005993e-01
2.9573200000e+05	9.4664538093e-01
3.0858900000e+05	9.9327282893e-01
3.2144700000e+05	1.0398958992e+00
3.3430500000e+05	1.0865381717e+00
3.4716300000e+05	1.1331869912e+00
3.6002100000e+05	1.1798399789e+00
3.7287900000e+05	1.2264950170e+00
3.8573700000e+05	1.2731502496e+00
3.9859500000e+05	1.3198039482e+00
4.1145300000e+05	1.3664545919e+00
4.2431100000e+05	1.4131007808e+00
4.3716800000e+05	1.4597478583e+00
4.5002600000e+05	1.5063709690e+00
4.6288400000e+05	1.5529962461e+00
4.7574200000e+05	1.5996123479e+00
4.8860000000e+05	1.6462182944e+00
5.0145800000e+05	1.6928131134e+00
5.1431600000e+05	1.7393959298e+00
5.2717400000e+05	1.7859658576e+00
5.4003200000e+05	1.8325221028e+00
5.5288900000e+05	1.8790706950e+00
5.6574700000e+05	1.9255868354e+00
5.7860500000e+05	1.9720974463e+00
5.9146300000e+05	2.0185913709e+00
6.0432100000e+05	2.0650679450e+00
6.1717900000e+05	2.1115265173e+00
6.3003700000e+05	2.1579664051e+00
6.4289500000e+05	2.2043869910e+00
6.5575300000e+05	2.2507876187e+00
6.6861100000e+05	2.2971676991e+00
6.8146800000e+05	2.3435335268e+00
6.9432600000e+05	2.3898602409e+00
7.0718400000e+05	2.4361751236e+00
7.2004200000e+05	2.4824670866e+00
7.3290000000e+05	2.5287355864e+00
7.4575800000e+05	2.5749800819e+00
7.5861600000e+05	2.6211999896e+00
7.7147400000e+05	2.6673947826e+00
7.8433200000e+05	2.7135639391e+00
7.9718900000e+05	2.7597138127e+00
8.1004700000e+05	2.8058194821e+00
8.2290500000e+05	2.8519083859e+00
8.3576300000e+05	2.8979695100e+00
8.4862100000e+05	2.9440023535e+00
8.6147900000e+05	2.9900063659e+00
8.7433700000e+05	3.0359810026e+00
8.8719500000e+05	3.0819257729e+00
9.0005300000e+05	3.1278401885e+00
9.1291100000e+05	3.1737237629e+00
9.2576800000e+05	3.2195829144e+00
9.3862600000e+05	3.2653926788e+00
9.5148400000e+05	3.3111805721e+00
9.6434200000e+05	3.3569355978e+00
9.7720000000e+05	3.4026572794e+00
9.9005800000e+05	3.4483450890e+00
1.0029160000e+06	3.4939985550e+00
1.0157740000e+06	3.5396172040e+00
1.0286320000e+06	3.5852004609e+00
1.0414890000e+06	3.6307548315e+00
