#this smaller prem file is used with {s,p}wave_{fast,slow}.txt
# radius	pressure rho	vp	vs	Qk	 Qmu
3493636 135.09 5559.62 13713.27 7264.79 100000    355 
3507273 134.29 5552.79 13709.94 7264.93 100000    355 
3520909 133.48 5545.96 13706.62 7265.06 100000    355 
3534545 132.68 5539.14 13703.30 7265.19 100000    355 
3548182 131.88 5532.32 13700.00 7265.31 100000    355 
3561818 131.08 5525.51 13696.72 7265.43 100000    355 
3575455 130.28 5518.70 13693.44 7265.55 100000    355 
3589091 129.49 5511.89 13690.17 7265.66 100000    355 
3602727 128.70 5505.08 13686.92 7265.77 100000    355 
3616364 127.91 5498.28 13683.67 7265.87 100000    355 
3630000 127.12 5491.48 13680.44 7265.97 100000    355 
3630000 127.12 5491.48 13680.42 7265.93 100000    355 
3642792 126.39 5485.10 13664.89 7260.06 100000    355 
3655584 125.65 5478.72 13649.41 7254.21 100000    355 
3668377 124.92 5472.35 13633.97 7248.37 100000    355 
3681169 124.19 5465.98 13618.57 7242.54 100000    355 
3693961 123.46 5459.61 13603.22 7236.72 100000    355 
3706753 122.74 5453.24 13587.91 7230.92 100000    355 
3719545 122.01 5446.87 13572.64 7225.12 100000    355 
3732338 121.29 5440.50 13557.41 7219.33 100000    355 
3745130 120.57 5434.14 13542.21 7213.55 100000    355 
3757922 119.85 5427.77 13527.05 7207.79 100000    355 
3770714 119.13 5421.41 13511.93 7202.02 100000    355 
3783506 118.41 5415.04 13496.84 7196.27 100000    355 
3796299 117.70 5408.68 13481.78 7190.53 100000    355 
3809091 116.99 5402.32 13466.76 7184.79 100000    355 
3821883 116.28 5395.95 13451.76 7179.06 100000    355 
3834675 115.57 5389.59 13436.79 7173.33 100000    355 
3847468 114.86 5383.23 13421.85 7167.61 100000    355 
3860260 114.15 5376.86 13406.94 7161.90 100000    355 
3873052 113.45 5370.50 13392.05 7156.19 100000    355 
3885844 112.74 5364.13 13377.18 7150.48 100000    355 
3898636 112.04 5357.76 13362.34 7144.78 100000    355 
3911429 111.34 5351.40 13347.51 7139.08 100000    355 
3924221 110.64 5345.03 13332.71 7133.39 100000    355 
3937013 109.94 5338.66 13317.92 7127.70 100000    355 
3949805 109.25 5332.29 13303.15 7122.01 100000    355 
3962597 108.55 5325.91 13288.40 7116.32 100000    355 
3975390 107.86 5319.54 13273.66 7110.63 100000    355 
3988182 107.17 5313.16 13258.93 7104.94 100000    355 
4000974 106.48 5306.78 13244.22 7099.26 100000    355 
4013766 105.79 5300.40 13229.51 7093.57 100000    355 
4026558 105.10 5294.02 13214.82 7087.88 100000    355 
4039351 104.41 5287.63 13200.13 7082.19 100000    355 
4052143 103.73 5281.24 13185.45 7076.50 100000    355 
4064935 103.04 5274.85 13170.77 7070.81 100000    355 
4077727 102.36 5268.46 13156.10 7065.12 100000    355 
4090519 101.68 5262.06 13141.43 7059.42 100000    355 
4103312 101.00 5255.66 13126.77 7053.72 100000    355 
4116104 100.32 5249.25 13112.10 7048.02 100000    355 
4128896  99.64 5242.85 13097.43 7042.31 100000    355 
4141688  98.97 5236.43 13082.76 7036.59 100000    355 
4154481  98.29 5230.02 13068.08 7030.88 100000    355 
4167273  97.62 5223.60 13053.40 7025.15 100000    355 
4180065  96.95 5217.18 13038.71 7019.42 100000    355 
4192857  96.28 5210.75 13024.02 7013.69 100000    355 
4205649  95.61 5204.32 13009.32 7007.94 100000    355 
4218442  94.94 5197.88 12994.60 7002.19 100000    355 
4231234  94.27 5191.44 12979.88 6996.43 100000    355 
4244026  93.60 5184.99 12965.14 6990.67 100000    355 
4256818  92.94 5178.54 12950.39 6984.89 100000    355 
4269610  92.27 5172.08 12935.62 6979.11 100000    355 
4282403  91.61 5165.62 12920.83 6973.31 100000    355 
4295195  90.95 5159.15 12906.03 6967.51 100000    355 
4307987  90.29 5152.68 12891.21 6961.69 100000    355 
4320779  89.63 5146.20 12876.36 6955.87 100000    355 
4333571  88.97 5139.71 12861.50 6950.03 100000    355 
4346364  88.31 5133.22 12846.61 6944.18 100000    355 
4359156  87.66 5126.72 12831.70 6938.32 100000    355 
4371948  87.00 5120.22 12816.76 6932.44 100000    355 
4384740  86.35 5113.71 12801.80 6926.55 100000    355 
