#pressure(GPa)	Temperature(K)
0  1009.84428046
0.239234449761  1303.01274623
2.39234449761  1564.35628469
4.54545454545  1679.11813137
12.2009569378  1825.86245451
18.1818181818  1908.84003171
28.4688995215  1972.78973796
42.3444976077  2062.3081458
58.6124401914  2183.74296111
71.0526315789  2266.85775853
79.4258373206  2318.02057287
93.7799043062  2413.9222622
106.937799043  2503.42542335
113.636363636  2548.17954504
119.85645933  2592.92350227
124.641148325  2714.11437051
129.425837321  2848.05147283
131.339712919  3020.16629058
132.296650718  3217.75324755
132.775119617  3389.83757191
133.732057416  3587.42452888
134.210526316  3765.88197028
134.688995215  4052.68240125
148.086124402  4174.0562298
165.071770335  4327.37187697
185.645933014  4493.50999167
204.545454545  4646.86629668
229.425837321  4844.96147669
260.526315789  5068.68126283
291.148325359  5286.01776748
311.722488038  5413.91717997
330.14354067  5535.39773536
