|6.6.6
pyrolite_1.tab
           2
P(bar)
   1.0000000000000000
   50000.000000000000
          31
T(K)
   1200.00000000000000
   100.000000000000000
          31
          14
P(bar)         T(K)           rho,kg/m3      alpha,1/K      beta,1/bar     Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        s,J/K/kg       h,J/kg         cp,J/K/kg      V,J/bar/mol
    1  1200 3173.9 3.53041e-05 1.04656e-06 1.00832e+06 579557 5.63642 7.49107 4.27319 2179.45 -1.24169e+07 1209.08 3.12581
50001  1200 3435.51 2.79391e-05 7.48213e-07 1.38787e+06 740706 6.3553 8.31478 4.64316 2125.39 -1.09859e+07 1194.47 2.88786
100001  1200 3565.49 2.4151e-05 6.30982e-07 1.63446e+06 824463 6.77017 8.75586 4.80856 2085.06 -9.60637e+06 1187.23 2.78257
150001  1200 3860.27 2.028e-05 4.63047e-07 2.22458e+06 1.12632e+06 7.59128 9.825 5.4016 2011.19 -8.34111e+06 1179.63 2.57002
200001  1200 4021.56 1.78295e-05 3.98355e-07 2.57408e+06 1.31864e+06 8.00025 10.3789 5.72614 1956.85 -7.14392e+06  1173 2.46698
250001  1200 4330.5 2.09794e-05 3.44416e-07 3.02158e+06 1.58557e+06 8.35302 10.8878 6.04717 1935.22 -5.95777e+06 1184.1 2.29172
300001  1200 4528.18 2.21158e-05 3.09875e-07 3.36722e+06 1.85119e+06 8.62331 11.3521 6.39386 1899.31 -4.88661e+06 1187.89 2.19094
350001  1200 4598.69 2.09111e-05 2.92443e-07 3.55689e+06 1.92356e+06 8.79456 11.5376 6.46747 1877.05 -3.81791e+06 1183.46 2.15736
400001  1200 4664.61 1.98121e-05 2.7699e-07 3.7455e+06 1.99674e+06 8.96073 11.7204 6.54261 1854.77 -2.76516e+06 1179.3 2.12688
450001  1200 4728.06 1.88385e-05 2.6325e-07 3.93208e+06 2.06788e+06 9.11948 11.8945 6.61334 1833.92 -1.72542e+06 1175.52 2.09832
500001  1200 4789.21 1.79718e-05 2.50943e-07 4.11676e+06 2.13703e+06 9.27136 12.0604 6.67993 1814.29 -698397 1172.05 2.07154
550001  1200 4848.35 1.71919e-05 2.39844e-07 4.29976e+06 2.20447e+06 9.41722 12.2192 6.74301 1795.76 316941 1168.84 2.04627
600001  1200 4905.65 1.64861e-05 2.29776e-07 4.48122e+06 2.27029e+06 9.55762 12.3715 6.80288 1778.16 1.32115e+06 1165.85 2.02236
650001  1200 4961.21 1.58454e-05 2.20595e-07 4.66121e+06 2.33446e+06 9.69289 12.5176 6.85959 1761.39 2.31438e+06 1163.05 1.99972
700001  1200 5015.22 1.52594e-05 2.12187e-07 4.83986e+06 2.39732e+06 9.82357 12.6585 6.9138 1745.41 3.29756e+06 1160.41 1.97818
750000  1200 5067.8 1.47211e-05 2.04453e-07 5.01727e+06 2.45887e+06 9.95001 12.7944 6.96559 1730.12 4.27106e+06 1157.92 1.95765
800000  1200 5119.03 1.42257e-05 1.97314e-07 5.19347e+06 2.51919e+06 10.0724 12.9256 7.01512 1715.46 5.23501e+06 1155.56 1.93807
850000  1200 5169.02 1.37672e-05 1.907e-07 5.36856e+06 2.57835e+06 10.1912 13.0525 7.06263 1701.37 6.1901e+06 1153.3 1.91932
900000  1200 5217.85 1.33412e-05 1.84554e-07 5.5426e+06 2.63643e+06 10.3065 13.1755 7.10824 1687.79 7.13665e+06 1151.15 1.90135
950000  1200 5265.59 1.29454e-05 1.78827e-07 5.71561e+06 2.69345e+06 10.4185 13.2947 7.15206 1674.69 8.0747e+06 1149.08 1.88413
1e+06  1200 5312.31 1.25756e-05 1.73476e-07 5.88767e+06 2.74951e+06 10.5276 13.4105 7.19425 1662.02 9.00486e+06 1147.1 1.86755
1.05e+06  1200 5415.96 1.45877e-05 1.75896e-07 5.82941e+06 2.91601e+06 10.3747 13.3948 7.33765 1625.35 9.89631e+06 1150.13 1.83181
1.1e+06  1200 5465.03 1.42343e-05 1.71103e-07 5.98827e+06 2.98541e+06 10.4677 13.506 7.39103 1611.5 1.07985e+07 1147.77 1.81536
1.15e+06  1200  5512 1.38556e-05 1.66451e-07 6.15098e+06 3.05106e+06 10.5637 13.6161 7.43994 1598.52 1.16939e+07 1145.4 1.7999
1.2e+06  1200 5558.24 1.34993e-05 1.6208e-07 6.31247e+06 3.11541e+06 10.6569 13.7224 7.48667 1585.86 1.25822e+07 1143.1 1.78491
1.25e+06  1200 5603.74 1.3164e-05 1.57959e-07 6.47295e+06 3.17838e+06 10.7476 13.8252 7.53119 1573.55 1.34632e+07 1140.87 1.77043
1.3e+06  1200 5648.55 1.28473e-05 1.54067e-07 6.63249e+06 3.24001e+06 10.836 13.9247 7.57363 1561.53 1.43375e+07 1138.71 1.75639
1.35e+06  1200 5692.69 1.25477e-05 1.50382e-07 6.7912e+06 3.30031e+06 10.9223 14.0213 7.6141 1549.79 1.52052e+07 1136.62 1.74276
1.4e+06  1200 5736.14 1.2264e-05 1.46885e-07 6.94924e+06 3.35935e+06 11.0067 14.115 7.65274 1538.36 1.60664e+07 1134.58 1.72956
1.45e+06  1200 5778.94 1.19947e-05 1.43558e-07 7.10675e+06 3.4172e+06 11.0895 14.2063 7.68973 1527.26 1.69215e+07 1132.6 1.71676
1.5e+06  1200 5821.08 1.17385e-05 1.40388e-07 7.26385e+06 3.47406e+06 11.1707 14.2954 7.72532 1516.49 1.77707e+07 1130.67 1.70432
    1  1300 3162.34 3.66182e-05 1.07426e-06 987600 566992 5.58835 7.4253 4.23427 2277.7 -1.22939e+07 1219.45 3.13725
50001  1300 3425.58 2.86534e-05 7.6071e-07 1.37037e+06 727882 6.32422 8.26593 4.60945 2222.94 -1.08638e+07 1202.94 2.89624
100001  1300 3556.92 2.45237e-05 6.38932e-07 1.61866e+06 810796 6.74544 8.71164 4.77426 2181.96 -9.48506e+06 1194.73 2.78928
150001  1300 3811.11 2.16076e-05 4.85798e-07 2.12334e+06 1.0461e+06 7.46412 9.60775 5.23897 2129.68 -8.19263e+06 1190.69 2.60319
200001  1300 4013.32 1.81598e-05 4.02665e-07 2.55167e+06 1.29651e+06 7.9735 10.3271 5.68369 2055.16 -7.02076e+06 1181.22 2.47205
250001  1300 4322.06 2.13046e-05 3.4745e-07 3.00466e+06 1.56708e+06 8.33763 10.854 6.01748 2030.91 -5.83804e+06 1193.66 2.29619
300001  1300 4519.02 2.24595e-05 3.12608e-07 3.34979e+06 1.82844e+06 8.60967 11.317 6.36089 1997.55 -4.76369e+06 1198.41 2.19539
350001  1300 4588.9 2.11989e-05 2.94763e-07 3.5407e+06 1.90315e+06 8.78388 11.5088 6.43991 1974.02 -3.69658e+06 1193.75 2.16197
400001  1300 4655.19 2.00758e-05 2.79026e-07 3.72975e+06 1.97677e+06 8.95092 11.6935 6.51639 1951.42 -2.64423e+06 1189.51 2.13118
450001  1300 4718.96 1.90824e-05 2.65051e-07 3.91671e+06 2.04822e+06 9.11041 11.8689 6.58817 1930.23 -1.60491e+06 1185.68 2.10237
500001  1300 4780.41 1.8199e-05 2.52549e-07 4.10174e+06 2.11765e+06 9.26294 12.036 6.65569 1910.3 -578269 1182.18 2.07535
550001  1300 4839.8 1.74052e-05 2.41286e-07 4.28506e+06 2.18532e+06 9.4094 12.1959 6.71957 1891.47 436715 1178.97 2.04988
600001  1300 4897.34 1.66873e-05 2.31076e-07 4.46681e+06 2.25128e+06 9.55034 12.3491 6.78008 1873.6 1.44056e+06 1176.01 2.02579
650001  1300 4953.12 1.60364e-05 2.21776e-07 4.64708e+06 2.31568e+06 9.6861 12.4963 6.83753 1856.62 2.43354e+06 1173.24 2.00299
700001  1300 5007.33 1.54413e-05 2.13263e-07 4.82601e+06 2.37869e+06 9.81723 12.6379 6.89231 1840.42 3.41644e+06 1170.65 1.9813
750000  1300 5060.08 1.4895e-05 2.05438e-07 5.00369e+06 2.44036e+06 9.94411 12.7745 6.94461 1824.94 4.3897e+06 1168.21 1.96064
800000  1300 5111.46 1.43926e-05 1.98217e-07 5.18015e+06 2.50076e+06 10.0669 12.9064 6.99459 1810.09 5.35343e+06 1165.91 1.94094
850000  1300 5161.6 1.39278e-05 1.91532e-07 5.3555e+06 2.55998e+06 10.1861 13.034 7.04248 1795.83 6.3083e+06 1163.72 1.92209
900000  1300 5210.56 1.34963e-05 1.85322e-07 5.52979e+06 2.61812e+06 10.3018 13.1576 7.08846 1782.1 7.25466e+06 1161.65 1.90402
950000  1300 5258.41 1.30953e-05 1.79538e-07 5.70307e+06 2.67517e+06 10.4142 13.2773 7.13259 1768.86 8.19253e+06 1159.66 1.88669
1e+06  1300 5305.25 1.2721e-05 1.74135e-07 5.87538e+06 2.73124e+06 10.5236 13.3936 7.17506 1756.06 9.12253e+06 1157.76 1.87004
1.05e+06  1300 5359.93 1.28197e-05 1.70198e-07 6.01229e+06 2.80455e+06 10.5911 13.4884 7.23345 1745.82 1.00507e+07 1157.18 1.85097
1.1e+06  1300 5457.15 1.44196e-05 1.7187e-07 5.97511e+06 2.96801e+06 10.4638 13.491 7.37478 1705.03 1.09156e+07 1159.92 1.81799
1.15e+06  1300 5504.22 1.40362e-05 1.67165e-07 6.13818e+06 3.03368e+06 10.5602 13.6016 7.42397 1691.99 1.18109e+07 1157.65 1.80244
1.2e+06  1300 5550.55 1.36758e-05 1.62743e-07 6.30009e+06 3.09814e+06 10.6538 13.7086 7.47106 1679.36 1.26992e+07 1155.46 1.78739
1.25e+06  1300 5596.12 1.33367e-05 1.58578e-07 6.46096e+06 3.16128e+06 10.7449 13.8121 7.516 1667.08 1.35802e+07 1153.35 1.77284
1.3e+06  1300  5641 1.30166e-05 1.54643e-07 6.62092e+06 3.22311e+06 10.8338 13.9123 7.55891 1655.12 1.44546e+07 1151.3 1.75873
1.35e+06  1300 5685.22 1.27139e-05 1.50921e-07 6.78001e+06 3.28367e+06 10.9205 14.0095 7.59988 1643.48 1.53224e+07 1149.33 1.74505
1.4e+06  1300 5728.77 1.24275e-05 1.47391e-07 6.93837e+06 3.34296e+06 11.0052 14.1039 7.63896 1632.15 1.61837e+07 1147.4 1.73179
1.45e+06  1300 5771.67 1.21557e-05 1.44036e-07 7.0961e+06 3.40107e+06 11.0882 14.1956 7.67638 1621.15 1.7039e+07 1145.54 1.71891
1.5e+06  1300 5813.95 1.18974e-05 1.40842e-07 7.25334e+06 3.4581e+06 11.1695 14.2851 7.71229 1610.5 1.78883e+07 1143.73 1.70641
    1  1400 3143.94 3.78679e-05 1.10978e-06 962071 549827 5.5318 7.34295 4.18192 2369.3 -1.21707e+07 1229.36 3.1556
50001  1400 3414.54 2.94173e-05 7.74638e-07 1.35112e+06 714879 6.28974 8.21429 4.57546 2314.38 -1.07405e+07 1210.93 2.90561
100001  1400 3548.07 2.48256e-05 6.4723e-07 1.60233e+06 796575 6.71969 8.6653 4.73811 2273.33 -9.36186e+06 1201.25 2.79623
150001  1400 3798.78 2.19584e-05 4.92605e-07 2.09723e+06 1.02258e+06 7.43021 9.54461 5.18832 2224.89 -8.06463e+06 1197.89 2.61163
